case_id,Case Status,Unnamed: 2,Product Phase,Concept Year_year,Concept Year_year_raw,Concept Year_year_qualifier,Prototype Year_year,Prototype Year_year_raw,Prototype Year_year_qualifier,Commercial Year_year,Commercial Year_year_raw,Commercial Year_year_qualifier,Patent mentions biomim*?,Academia or Industry,Company or Institution Name,Innovator?,Product Name,Product Description,Aerospace or Transport?,Mimic,Mimic Description,Sustainability?,Kingdom,Group,Phylum,Mimic System,Mimic Subsystem,Mimic Suprasystem,BioM Intensity,Bioutilization?,Species Utilized,Is this product Biomimetic?,Is this an Ecosystem Service,Process Type,Source(s),"Do the official or commercial product descriptions or journal article by developer mention inspir*, Biom*, Bioni*, or mimi*?",Third Party,Product Biomimetic Description Word,Word Category,Country,Continent,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,display_name,biom_type_function,biom_type_form,biom_type_process,biom_type_interaction,biom_type_na,country_iso3,country_name_canonical
94,"Complete, no interview",,In Development,,,,,,,,,,,,"Hungarian Academy of Sciences, Computer and Automation Research Institute MTA SZTAKI

Instituto de Microelectronica de Sevilla/Centro Nacional de Microelectronica (CSIC)

University of Newcastle upon Tyne, School of Biology

Volvo Car Corporation",,LOCUST visual collision detector,Object detection for collision avoidance using spatiotemporal image processing,True,Grasshoppers,Mimics grasshopper neurological collision avoidance,False,Animalia,Invertebrates,Arthropoda,Organ System,Organ,Organism,1.0,False,,True,False,,"http://www2.imse-cnm.csic.es/locust/index.html
Yue, S. & Rind, F.C., 2005. A collision detection system for a mobile robot inspired by the locust visual system. In Robotics and Automation, 2005. ICRA 2005. Proceedings of the 2005 IEEE International Conference on. pp. 3832–3837. Available at: http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=1570705 [Accessed March 14, 2013].",True,,Inspired,Inspir*,UK,Europe,,,,,,,LOCUST visual collision detector,False,False,True,False,False,GBR,United Kingdom
95,"Complete, no interview",,Commercially Available,,,,,,,,,,,,Erlus,,ERLUS LOTUS® Clay roof tiles,Lotus clay roofing tiles,False,Lotus leaf,"Potentially mimickingt the self-cleaning abilities of the lotus leaf however I think, the leaf does it differently than the tile. More information needed.",True,Plantae,Plants,Anthophyta,Tissue,Cell,Organ,0.0,False,,True,False,,http://www.erlus.de/TopiceSelf-cleaning/,False,,,,Germany,Europe,,,,,,,ERLUS LOTUS® Clay roof tiles,True,False,False,False,False,DEU,Germany
96,"Complete, with interview",,Commercially Available,,,,,,,2010.0,2010,,,,Sto Corp.,,Lotusan® paint,"Exterior, self-cleaning coating",False,Lotus leaf,Mimics complex surface of a lotus leaf to repel water and dirt.,True,Plantae,Plants,Anthophyta,Tissue,Cell,Organ,1.0,False,,True,False,Biology to Design,"http://www.stocorp.com/index.php/component/option,com_catalog2/Itemid,196/catID,43/catLevel,5/lang,en/productID,34/subCatID,44/subCatIDBP,44/subCatIDnext,0/",False,,,,USA,North America,,,,,,,Lotusan® paint,False,True,False,False,False,USA,United States
97,"Complete, no interview",,"Discontinued, was Commercially Available",,,,,,,,,,,,Zero Gravity,,Lunocet,Monofin.,False,Dolphin tail,,False,Animalia,Chordates,Chordata,Organ,Tissue,Organ System,1.0,False,,True,False,,www.lunocet.com/,True,,Biomimetic,Biomimet*,USA,North America,,,,,,,Lunocet,False,True,False,False,False,USA,United States
98,"Complete, no interview",,In Development,,,,,,,,,,False,,Case Western Reserve University,True,"DYNAMIC MECHANICAL POLYMER
NANOCOMPOSITES",Mechanically adaptive polymer nanocomposites.,False,Sea cucumber and starfish tissue,The sea cucumber has skin (Mutable Collagenous Tissue) that can change from stiff to nearly liquid as part of the animal's defense-and-escape behavior.  Starfish can do it too.  The mimic achieves this same change through the rearrangement of microfibers within the material.,False,Animalia,Invertebrates,Echinodermata,Tissue,Cell,Organ,1.0,False,,True,False,,http://bme.cwru.edu/Capadona/Research,True,,Biomimetic,Biomimet*,USA,North America,,,,,,,"DYNAMIC MECHANICAL POLYMER
NANOCOMPOSITES",False,False,True,False,False,USA,United States
99,"Complete, no interview",,In Development,,,,,,,,,,,,"Northwestern University, Messersmith Research Group",,,Medical implant coating.,False,"Mussel adhesive (DOPA; L-3,4-dihydroxyphenylalanine)",,False,Animalia,Invertebrates,Mollusca,Tissue,Cell,Organ,,True,Mussels (no specific species),False,False,,"http://biomaterials.bme.northwestern.edu/index.asp
Barrett, D. G., Bushnell, G. G. and Messersmith, P. B. (2013), Mechanically Robust, Negative-Swelling, Mussel-Inspired Tissue Adhesives. Advanced Healthcare Materials, 2: 745–755. doi: 10.1002/adhm.201200316 - GET IT!",True,,Inspired,Inspir*,USA,North America,,,,,,,,False,False,False,False,True,USA,United States
100,"Complete, no interview",,In Development,,,,,,,,,,,,"Yale University, Department of Chemical Engineering",,AC Biobattery,Microbatteries.,False,Electric eel cells.,Mimics the groups of cells that give electric eels their shocking capabilities by designing artificial ion channel models for power output and conversion.,True,Animalia,Chordates,Chordata,Tissue,Cell,Organ,2.0,False,,True,False,,http://pantheon.yale.edu/~jx25/Research.htm,True,,Biomimetic,Biomimet*,USA,North America,,,,,,,AC Biobattery,False,True,True,False,False,USA,United States
101,"Complete, with interview",,In Development,,,,,,,,,,True,,"Munich Technical University

University of Bayreuth",True,,Microfluidic silk assembly.,False,"Orb weaving spider spinning duct (gland)
Specifically studying Araneus diadematus and Nephila clavipes","Product is a microfluidic assembly device, featuring a trident-shaped design and storage chamber.",False,Animalia,Invertebrates,Arthropoda,Organ,Tissue,Organ System,1.0,False,,True,False,Design to Biology,http://www.fiberlab.de/index_eng.html,True,,Biomimicking,Biomimic*,Germany,Europe,,,,,,,,False,True,False,False,False,DEU,Germany
102,"Complete, no interview",,In Development,,,,,,,,,,,,"University of California, Berkeley, Molecular Cell Biomechanics Laboratory",,,Micromachined bio-inspired shock-absorbing system.,False,Woodpecker shock absorption,"Product mimics the layers of materials which protect a woodpecker's head during drumming behaviour. Mimics three different aspects; beak (hard yet elastic), skull (spongy bones, minimal fluid layer between brain and skull), tongue (vibration reducing hyloid layer).",False,Animalia,Chordates,Chordata,Tissue,Cell,Organ,1.0,False,,True,False,,"Yoon, S.-H. & Park, S., 2011. A mechanical analysis of woodpecker drumming and its application to shock-absorbing systems. Bioinspiration & Biomimetics, 6(1), p.016003.",True,,Biomimetic,Biomimet*,USA,North America,,,,,,,,False,True,False,False,False,USA,United States
103,"Complete, no interview",,In Development,,,,,,,,,,,,BASF The Chemical Company,,Mincor® TX TT textile coating,"Self-cleaning finishing material for awnings, sunshades, sails and tents.",False,Lotus leaf,Water and dirt repellant.,True,Plantae,Plants,Anthophyta,Tissue,Cell,Organ,1.0,False,,True,False,,"http://www.basf.com/group/corporate/en/function/conversions:/publishdownload/content/investor-relations/news-publications/presentations/2007/download/070824_BASF_Equity_Story_Nanotechnology_July07.pdf
http://www.report.basf.com/2007/en/managementsanalysis/companyandstrategy/performanceproducts/researchanddevelopment.html",True,,inspired,Inspir*,Germany,Europe,,,,,,,Mincor® TX TT textile coating,False,True,False,False,False,DEU,Germany
104,"Complete, no interview",,In Development,,,,,,,,,,,,Duke University,,,Miniaturized condensers.,False,Lotus leaf and mushrooms,"Lotus leaf- superhydrophobicity, Mushrooms- spore discharge powered by the energy released when dew droplets merge on them.",True,Plantae,Plants,Anthophyta,Tissue,Cell,Organ,2.0,False,,True,False,,https://web.duke.edu/uphyl/research.html,True,,Bio-inspired,Inspir*,USA,North America,,,,,,,,False,True,True,False,False,USA,United States
105,"Complete, no interview",,"Discontinued, was Commercially Available",,,,,,,,,,,,Qualcomm,,Mirasol™ display technology,Electronic display.,False,Butterfly wings and peacock feathers,Structure of wings and feathers is mimicked to produce vivid colours.,False,Animalia,Invertebrates,Arthropoda,Tissue,Cell,Organ,1.0,False,,True,False,,"http://www.qualcomm.com/
http://www.qualcomm.com/media/press-kits/mirasolr-display-technology/videos
http://www.qualcomm.com/mirasol/benefits",True,,Mimic,Mimi*,USA,North America,,,,,,,Mirasol™ display technology,False,True,False,False,False,USA,United States
106,"Complete, no interview",,In Development,,,,,,,,,,True,,"University of Maryland, Clarke School of Engineering",True,Monocopter,Single winged flying object.,False,Samara (maple seed),Maple seed that 'helicopters' to the ground.,False,Plantae,Plants,Anthophyta,Organ,Tissue,Organ System,1.0,False,,True,False,,"http://www.agrc.umd.edu/news/news_story.php?id=4460
http://www.evarobotics.com/latest-articles/robotic-maple-seed, Journal article in file. ",True,,Mimic,Mimi*,USA,North America,,,,,,,Monocopter,False,True,False,False,False,USA,United States
107,"Complete, no interview",,"Discontinued, was Commercially Available",,,,,,,,,,False,,Teijin Fibers Limited,,Morphotex structural colored fibers,Fibers coloured by structural colouration (no dyes or pigments).,False,South American Morphobutterfly wing,,False,,,,Tissue,Cell,Organ,1.0,False,,True,False,,"https://www.teijin.co.jp/english/
http://www.teijin.co.jp/english/ir/doc/annual2005/ar2005_79-93.pdf",True,,Mimicking,Mimi*,,,,,,,,,Morphotex structural colored fibers,False,True,False,False,False,,
108,"Complete, no interview",,In Development,,,,,,,,,,,,Kansai University,,,Microneedle.,False,Mosquito proboscis,,False,Animalia,Invertebrates,Arthropoda,Organ,Tissue,Organ System,1.0,False,,True,False,,http://www.kansai-u.ac.jp/English/academics/fac_eng.html,True,,Imitating,Imitat*,Japan,Asia,,,,,,,,False,True,False,False,False,JPN,Japan
109,"Complete, no interview",,In Development,,,,,,,,,,,,Nagaoka University of Technology,,,Antireflective coatings.,False,Moth eye,Acrylic resin used to achieve moth eye patterning for anti-reflective properties,False,Animalia,Invertebrates,Arthropoda,Tissue,Cell,Organ,1.0,False,,True,False,,http://voice.nagaokaut.ac.jp/,True,,Biomimetic,Biomimet*,Japan,Asia,,,,,,,,False,True,False,False,False,JPN,Japan
110,"Complete, no interview",,"Discontinued, was Commercially Available",,,,,,,,,,,,MacDermid Autotype Limited,,MothEye and MARAG™ films,Anti-reflective and anti-glare films.,False,Nocturnal moth eyes,Mimics the nanostructures found on eyes of nocturnal moths to develop anti-reflective and anti-glare films,False,,,,Tissue,Organ,,1.0,False,,True,False,,http://www.macdermidautotype.com/,False,,,,UK,Europe,,,,,,,MothEye and MARAG™ films,False,True,False,False,False,GBR,United Kingdom
111,"Complete, no interview",,Commercially Available,,,,,,,,,,,,,,MUTE File Sharing,Peer-to-peer network.,False,Ant behavior,Ant-inspired message routing scheme,False,Animalia,Invertebrates,Arthropoda,Organism,Population,Organ System,0.0,False,,True,False,,"http://mute-net.sourceforge.net/
http://mute-net.sourceforge.net/howAnts.shtml",True,,inspired,Inspir*,USA,North America,,,,,,,MUTE File Sharing,True,False,False,False,False,USA,United States
112,"Complete, no interview",,In Development,,,,,,,,,,,,NanoTech Security (acquired by META Materials 2024),,Nano-Optic Technology for Enhanced Security (NOtES),Nanotechnology designed into specialized optics which can't be reproduced by counterfeit,False,Blue morpho butterfly wings,,False,Animalia,Invertebrates,Arthropoda,Tissue,Cell,Organ,1.0,False,,True,False,,http://www.nanosecurity.ca/products.php,False,,,,Canada,North America,,,,,,,Nano-Optic Technology for Enhanced Security (NOtES),False,True,False,False,False,CAN,Canada
113,"Complete, no interview",,Commercially Available,,,,,,,,,,False,,Georgia Tech Research Corporation,True,,Nano-scale to micro-scale silica structures,False,Sponges' production of biosilica,Mimics the way that sponge cells biomineralize silicic acid into biosilica on their spiculae,False,Animalia,Invertebrates,Porifera,Cell,Organelle,Tissue,1.0,False,,True,False,,"https://techfinder.gtrc.gatech.edu/UREF1311048146826923/TF_Technology_Input/K2AE1502134157448830/A11146826923
http://www.asknature.org/product/5dceefaf6a54230fe33ae1e7e67dfdd6",False,,,,USA,North America,,,,,,,,False,False,True,False,False,USA,United States
114,"Complete, with interview",,Commercially Available,1990.0,1990,,1990.0,1990,,1994.0,1994,,False,,"NanoChem Solutions, Inc.",True,,NanoChem BioPolymers,False,Oyster Shell Protein (OSP),Oysters' protein-based agents (aspartic proteins) that mold calcium carbonate into their shells' shape.,False,Animalia,Invertebrates,Mollusca,Tissue,Cell,Organ,0.0,False,,True,False,,http://www.nanochemsolutions.com/biopolymer/products.shtml,False,,,,USA,North America,,,,,,,,True,False,False,False,False,USA,United States
115,"Complete, no interview",,In Development,,,,,,,,,,,,"University of Michigan, Biomedical Engineering Department and Chemical Engineering Department",,,Nanopore measuring device,False,Silk moth antennae,"Inspired by the olfactory sensilla of silk moth antennae, lipid-coated nanopores.  Product mimics the fluid lipid bilayer coating.",False,Animalia,Invertebrates,Arthropoda,Tissue,Cell,Organ,1.0,False,,True,False,,http://www.bme.umich.edu/labs/biomembrane/research/index.html#nanopore,False,,,,USA,North America,,,,,,,,False,True,False,False,False,USA,United States
116,"Complete, no interview",,Commercially Available,,,,,,,,,,False,,Schoeller Technologies AG,,NanoSphere® fabric finish,"Self-cleaning, dirt- and water-repellant fabric finish",False,Lotus leaf,Self-cleaning properties due to the structure of the Lotus leaf,True,Plantae,Plants,Anthophyta,Tissue,Cell,Organ,1.0,False,,True,False,,http://www.nanosphere.ch/index.php?id=9,False,,,,Switzerland,Europe,,,,,,,NanoSphere® fabric finish,False,True,False,False,False,CHE,Switzerland
117,"Complete, no interview",,In Development,,,,,,,,,,,,"Harvard University, Wyss Institute for Biologically Inspired Engineering",,,Twistless spring.,False,Cucumber plant (Cucumis sativus) climbing tendrils,When tension is increased on the coiled tendrils the plant responds by counterintuitively overwinding the coils in the tendril.  Coiling occurs via asymmetric contraction of an internal fiber ribbon of specialized cells.,False,Plantae,Plants,Anthophyta,Organ,Tissue,Organ System,1.0,False,,True,False,,http://wyss.harvard.edu/viewpressrelease/94/uncoiling-the-cucumbers-enigma,True,,Bio-inspired,Inspir*,USA,North America,,,,,,,,False,True,False,False,False,USA,United States
118,"Complete, with interview",,Commercially Available,1984.0,1984,,1986.0,1986,,1990.0,1990,,,,Nikwax®/Páramo®,,"Analogy® fabric, or Directional® fabric",Waterproof fabric,False,Mammal fur and bird feathers,"Mimics the way in which mammals stay dry and comfortable through fur and feathers, water is pumped away faster than it can be pushed in.",False,Animalia,Chordates,Chordata,Tissue,Cell,Organ,2.0,False,,True,False,Design to Biology,"http://www.directionaltextiles.com/
Interview",True,,Mimic,Mimi*,UK,Europe,,,,,,,"Analogy® fabric, or Directional® fabric",False,True,True,False,False,GBR,United Kingdom
119,"Complete, no interview",,Commercially Available,,,,,,,,,,False,,Novomer (acquired by Danimer Scientific 2021),True,,Cabon dioxide-based plastics,False,Rubisco enzyme (photosynthesis),"Technique mimics the rubisco enzyme's reaction center, to bond carbon dioxide to a natural epoxide (limonene oxide)",False,,,,Molecule,,Organelle,0.0,False,,True,False,,http://www.novomer.com/?action=main,False,,,,USA,North America,,,,,,,,True,False,False,False,False,USA,United States
120,"Complete, no interview",,In Development,,,,,,,,,,,,"Stanford University, Department of Electrical Engineering",,,Optical hydrophone.,False,Orca ears,How orcas sense sounds over a wide range of frequencies.,False,Animalia,Chordates,Chordata,Organ,Tissue,Organ System,0.0,False,,True,False,,"http://news.stanford.edu/news/2011/june/orca-ears-microphone-062311.html
J. Acoust. Soc. Am. Volume 129, Issue 4, pp. 1837-1850 (2011); (14 pages)
Onur Kilic, Michel J. F. Digonnet, Gordon S. Kino, and Olav Solgaard
E. L. Ginzton Laboratory, Stanford University, 348 Via Pueblo Mall, Stanford, California 94305 ",False,,,,USA,North America,,,,,,,,True,False,False,False,False,USA,United States
121,"Complete, no interview",,In Development,,,,,,,,,,,,"Marine Biological Laboratory, Woods Hole",,,Optical metamaterials.,False,Cephalopod skin,"Cephalopods possess chromatophores (colour) iridophores (reflection), and opsins (sense incoming light) in their skin, which allow for colour changes.  What isn't clear is how the researcher is applying mimicry to material.",False,Animalia,Invertebrates,Mollusca,Cell,Organelle,Tissue,0.0,False,,True,False,,http://hermes.mbl.edu//mrc/hanlon/coloration.html,False,,,,USA,North America,,,,,,,,True,False,False,False,False,USA,United States
122,"Complete, no interview",,In Development,,,,,,,,,,False,,"Harvard University, Wyss Institute for Biologically Inspired Engineering",True,,Organ on a chip.,False,Human organ,Combine circuitry with living cells to mimic human organs.,False,Animalia,Chordates,Chordata,Tissue,Cell,Organ,2.0,False,Sometimes use cells?,True,False,,http://wyss.harvard.edu/viewmedia/109/lungonachip-microdevice,True,,Mimic,Mimi*,USA,North America,,,,,,,,False,True,False,True,False,USA,United States
123,"Complete, with interview",,Commercially Available,1998.0,Late 90s,,2000.0,2000 & 2001,,2006.0,2006,,False,,Arnold Glas,True,ORNILUX,Insulated transparent glass sheeting which is designed to reduce bird collisions.,False,Spider webs (of orb weavers),Some species of spiders (orb weavers) incorporate UV-reflective silk strands into their webs to make them visible for birds.,False,Animalia,Invertebrates,Arthropoda,Tissue,Cell,Organ,0.0,False,,True,False,Biology to Design,"http://www.ornilux.com/history-research.html
http://www.google.com/patents/EP2174545A1?cl=en",True,,Biomimetic,Biomimet*,USA,North America,,,,,,,ORNILUX,True,False,False,False,False,USA,United States
124,"Complete, no interview",,Commercially Available,,,,,,,,,,,,Cyclus,,Pangolin backpack,Backpack,False,Pangolin scales,,False,Animalia,Chordates,Chordata,Tissue,Cell,Organ,1.0,False,,True,False,,http://www.cyclus.com.co/en,True,,inspiration,Inspir*,Colombia,South America,,,,,,,Pangolin backpack,False,True,False,False,False,COL,Colombia
125,"Complete, with interview",,Commercially Available,1997.0,1997,,1999.0,1999,,2008.0,2008,,False,,PAX Scientific,True,PAX Water Mixer,Vortical water mixer.,False,Vortical/Spiral flows,"Inspired by spiral flows observed in nature, including how kelp move in a spiral movement in response to water movement (and whirlpools).",False,Protista,Other,Heterokontophyta,Organism,Organ System,Population,1.0,False,,True,False,Biology to Design,http://www.paxscientific.com/tech_what.html#mixer,True,,Biomimicry,Biomimic*,USA,North America,,,,,,,PAX Water Mixer,False,True,False,False,False,USA,United States
126,"Complete, with interview",,Commercially Available,1994.0,1994,,2004.0,2004,,2007.0,2007,,True,,Phillips Helmets Limited,True,Phillips Head Protection System (PHPS),The Phillips Head Protection System (PHPS) is a helmet with a lubricated high-tech polymer membrane over the outside of the helmet.,False,Human head,"Not only has hard bottom layer, but top layer that acts as skin, forming an additional interface between the helmet and the tarmac.",False,Animalia,Chordates,Chordata,Organ,Tissue,Organ System,1.0,False,,True,False,Design to Biology,"http://www.phillipshelmets.com/
http://www.google.com/patents/EP1404189B1?cl=en&dq=EP1404189A1&hl=en&sa=X&ei=wyWIUc7FD5T8yAHMh4GACg&ved=0CDUQ6AEwAA",True,,Mimic,Mimi*,UK,Europe,,,,,,,Phillips Head Protection System (PHPS),False,True,False,False,False,GBR,United Kingdom
127,"Complete, no interview",,"Discontinued, was Commercially Available",,,,,,,,,,,,Brinker Technology (dissolved 2016),,Platelet Technology ™,Pipeline leak sealer,False,Platelets,Mimic platelets- flow through a system and seal up leak,False,Animalia,Chordates,Chordata,Cell,Organelle,Tissue,1.0,False,,True,False,,"http://www.raeng.org.uk/news/releases/shownews.htm?NewsID=325, http://www.talentscotland.com/Workers/Industries/Energy/Employers/By-AZ/Company-Profile.aspx?companyID=%7B06393A2B-DED7-4C83-93F6-204823F2DDE5%7D",,,,,UK,Europe,,,,,,,Platelet Technology ™,False,False,True,False,False,GBR,United Kingdom
128,"Complete, with interview",,Commercially Available,2004.0,2004,,2005.0,2005,,2008.0,2008,,False,,Pneumocell,True,Pneumocell,Standardized building blocks,False,Soap bubbles,Form and stability of a cell from its outer membrane and inner pressure,False,,,,Cell,Organelle,Tissue,,False,,False,False,,"http://www.pneumocell.com/pneumocell.html
http://www.google.com/patents/EP1812668B1?cl=en&dq=thomas+herzig&hl=en&sa=X&ei=Iy-IUZGtPMq8yAHdtIHIAQ&ved=0CDUQ6AEwAA",False,,,,Austria,Europe,,,,,,,Pneumocell,False,False,False,False,True,AUT,Austria
129,"Complete, no interview",,Concept,,,,,,,,,,,,,,,Polar thermos cozy,False,Polar bear fur,,False,Animalia,Chordates,Chordata,Tissue,Cell,Organ,1.0,False,,True,False,,Can't find any sources other than ask nature,,,,,,,,,,,,,,False,True,False,False,False,,
130,"Complete, no interview",,In Development,,,,,,,,,,True,,The Regents of the University of Michigan,True,,Polymer nanocomposite material,False,Mother of pearl (nacre),Built up a strong material by adding layers in an ,False,Animalia,Invertebrates,Mollusca,Tissue,Cell,Organ,1.0,False,,True,False,,http://macromolecular.umich.edu/faculty/arruda/arruda.html,True,,Mimics,Mimi*,USA,North America,,,,,,,,False,True,False,False,False,USA,United States
131,"Complete, no interview",,In Development,,,,,,,,,,,,"Uppsala University, Angstrom Laboratory",,,Polymer-cellulosic batteries,False,Cladophora algae,Algal cellulose fibers coated with a thin layer of conducting polymer,False,Plantae,Plants,Chlorophyta,Tissue,Cell,Organ,,True,Cladophora algae,False,False,,http://www.polacksbacken.uu.se/,,,,,Sweden,Europe,,,,,,,,False,False,False,False,True,SWE,Sweden
132,"Complete, no interview",,Commercially Available,,,,,,,,,,,,"Wastewater Compliance Systems, Inc.",,Bio-domes,Domes lined in biofilm to process wastewater,False,Natural bacteria in water,"Product is lined with biofilm, and hosts heterotrophic and autotrophic bacteria that process the wastewater.",True,Monera,Other,,Tissue,Cell,Organ,,True,Aquatic bacteria,False,True,,http://www.wastewater-compliance-systems.com/poo-gloos.html,False,,,,USA,North America,,,,,,,Bio-domes,False,False,False,False,True,USA,United States
133,"Complete, no interview",,"Discontinued, was Commercially Available",,,,,,,,,,False,,Konarka Technologies (bankrupt 2012),,Power Plastic®,solar cell technology,False,Photosynthesis,Solar cells mimic electron transport chain of photosynthesis,True,,,,Organelle,Molecule,Cell,1.0,False,,True,False,,http://www.konarka.com/index.php/power-plastic/about-power-plastic/,False,,,,USA,North America,,,,,,,Power Plastic®,False,False,True,False,False,USA,United States
134,"Complete, with interview",,Commercially Available,2006.0,2006,,2006.0,2006,,2014.0,2014,,False,,RavenBrick LLC,True,RavenWindow,Thermally-tintable glass.,False,Passive pigmentation and thermoregulation,"Passive pigmentation in cephalopods and many lizard species, passive thermoregulation in different phylogenetic kingdoms.",True,Animalia,,,Cell,Organelle,Tissue,,False,,False,True,,http://www.ravenbrick.com/,False,"AskNature
http://www.asknature.org/product/4c61cb49bbcffa2302633dc8d3c135b0",,,USA,North America,,,,,,,RavenWindow,False,False,False,False,True,USA,United States
135,"Complete, no interview",,Commercially Available,,,,,,,,,,False,,REGEN Energy™,True,EnviroGrid™,Wireless energy management solution.,False,Bee communication,"Mimics the way that bees communicate (""swarm logic"") and coordinate with each other using simple rules.  The devices communicate among themselves autonomously. Using their algorithm, the devices spread out energy demand between devices. ",False,Animalia,Invertebrates,Arthropoda,Organism,Organ System,Population,1.0,False,,True,False,,http://www.regenenergy.com/,False,,,,Canada,North America,,,,,,,EnviroGrid™,False,False,True,False,False,CAN,Canada
136,"Complete, with interview",,Commercially Available,1989.0,1989,,1992.0,Early 1990s,,1998.0,Late 1990s,,False,,SAGE Electrochromics (acquired by Saint-Gobain 2012),True,SageGlass,electronically-stimulated pigment tints glass,False,Passive pigmentation and thermoregulation,"Passive pigmentation in cephalopods and many lizard species, passive thermoregulation in different phylogenetic kingdoms.",True,Animalia,,,Cell,Organelle,Tissue,,False,,False,False,,http://sageglass.com/technology/,False,"AskNature
http://www.asknature.org/product/02f1efba126122650d1691e800739a78",,,USA,North America,,,,,,,SageGlass,False,False,False,False,True,USA,United States
137,"Complete, no interview",,In Development,,,,,,,,,,,,Yale University,,,Self-assembling laser,False,Feathers,Inspired by how two types of nanoscale structures on the feathers of birds produce brilliant and distinctive colours.,False,Animalia,Chordates,Chordata,Tissue,Cell,Organ,1.0,False,,True,False,,http://appliedphysics.yale.edu/hui-cao,,,,,USA,North America,,,,,,,,False,True,False,False,False,USA,United States
138,"Complete, no interview",,In Development,,,,,,,,,,,,"Ariel University, Polymer & Composite Materials Laboratory",,,Self-cleaning fabric,False,Lotus on their website - asknature says pigeon feathers,Superhydrophobicity of lotus leaf,True,Plantae,Plants,Anthophyta,Tissue,Cell,Organ,1.0,False,,True,False,,Need more sources,,,,,Israel,Asia,,,,,,,,False,True,False,False,False,ISR,Israel
139,"Complete, no interview",,In Development,,,,,,,,,,,,University of Florida,,,Self-cleaning optical coatings,False,Moth eyes and cicada wings,Coating mimics microscopic structure found in moth eyes and cicada wing structure (protrusions surrounded by tiny pockets of air that buoy water droplets),True,Animalia,Invertebrates,Arthropoda,Tissue,Cell,Organ,1.0,False,,True,False,,http://www.che.ufl.edu/jiang/,True,,Biomimetic,Biomimet*,USA,North America,,,,,,,,False,True,False,False,False,USA,United States
140,"Complete, no interview",,In Development,,,,,,,,,,,,University of Florida,,,Self-cleaning surface,False,Hairs of spiders and other organisms (such as Lady's Mantle leaf),"Microscopic fibers of varying lengths enable water droplets to maintain a perfectly spherical shape, rolling away without dragging on the surface",True,Animalia,Invertebrates,Arthropoda,Tissue,Cell,Organ,1.0,False,,True,False,,http://sigmund.mse.ufl.edu/hairysurfaces.htm,,,,,USA,North America,,,,,,,,False,True,False,False,False,USA,United States
141,"Complete, no interview",,In Development,,,,,,,,,,,,"Arizona State University, Department of Mechanical and Aerospace Engineering",,,Self-healing Autonomous Material,False,Bone,"Detects damage and triggers healing response, like bone.",False,Animalia,Chordates,Chordata,Cell,Organelle,Tissue,1.0,False,,True,False,,http://more.engineering.asu.edu/research/,,,,,USA,North America,,,,,,,,False,False,True,False,False,USA,United States
142,"Complete, no interview",,Commercially Available,,,,,,,,,,,,"Airlight, Swiss Federal Laboratories for Materials Science and Technology (EMPA)",,Tensairity,Pneumatic beam that self heals,False, Aristolochia stems (it's a plant),"The product can 'self' heal when a hole occurs by mimicking the self healing process of vines that, when they crack, cells move to seal the crack due to high turgor pressure",False,Plantae,Plants,Anthophyta,Cell,Organelle,Tissue,1.0,False,,True,False,,"http://www.empa.ch/plugin/template/empa/*/106503
http://www.airlight.biz/",True,,Biomimetic,Biomimet*,Switzerland,Europe,,,,,,,Tensairity,False,False,True,False,False,CHE,Switzerland
143,"Complete, with interview",,Commercially Available,1989.0,1989,,,?,,,?,,False,,"Natural Process Design, Inc.",True,,Self-repairing concrete,False,Bone repair,"The product releases chemicals from fibers into matrix microcracks, so that development of further damage can be prevented. The repair fibers also release chemicals between delaminating layers or re-bonded fibers to the matrix.",True,Animalia,Chordates,Chordata,Cell,Organelle,Tissue,,False,,False,False,,www.naturalprocessdesign.com/,True,,Inspiration,Inspir*,USA,North America,,,,,,,,False,False,False,False,True,USA,United States
144,"Complete, no interview",,In Development,,,,,,,,,,False,,"University of Michigan, Advanced Civil Engineering- Materials Research Lab",True,,Self-repairing concrete,False,No specific mimic,,True,,,,,,,0.0,False,,True,False,,http://ace-mrl.engin.umich.edu/,False,,,,USA,North America,,,,,,,,True,False,False,False,False,USA,United States
145,"Complete, with interview",,In Development,2007.0,2007,,2010.0,2010,,,,,,,Fraunhofer Institute for Environmental Safety and Energy Technology,,,Self-repairing elastomers,False,Haevea brasiliensis (caoutchouc tree) and plants that contain latex (like Weeping Benjamin)  Rubber tree,"If the caoutchouc tree is damaged, latex escapes and the capsules break open to release hevein, which also links the latex particles in the latex to form a wound closure.",True,Plantae,Plants,Anthophyta,Cell,Organelle,Tissue,1.0,False,,True,False,Design to Biology,http://www.umsicht.fraunhofer.de/en/press-media/press-releases/2011/defective-plastics-repair-themselves.html,True,,inspiration,Inspir*,Germany,Europe,,,,,,,,False,False,True,False,False,DEU,Germany
146,"Complete, with interview",,Commercially Available,1989.0,1989,,,?,,,?,,True,,"Natural Process Design, Inc.",True,,Self-repairing composites,False,"No specific mimic (website: ""nature builds"", ""nature self forms""…)",,True,,,,,,,,False,,False,False,,www.naturalprocessdesign.com/,True,,Biomimetic,Biomimet*,USA,North America,,,,,,,,False,False,False,False,True,USA,United States
